key,city,country,latitude,longitude,comment,annotation
argamesilla,Argamasilla de Alba,España,39.1292,-3.08889,,Nota de alcance sobre el lugar (no puede quedar en blanco)
aragon,Aragón,España,41.649693,-0.887712,,Nota de alcance sobre el lugar (no puede quedar en blanco)
zaragoza,Zaragoza,España,41.649693,-0.887712,,Nota de alcance sobre el lugar (no puede quedar en blanco)
granada,Granada,España,37.18817,-3.60667,,Nota de alcance sobre el lugar (no puede quedar en blanco)
lovaina,Lovaina,Bélgica,50.87959,4.700793,,Nota de alcance sobre el lugar (no puede quedar en blanco)
